employment,ind_prod,cpi,ib_rate,lend_rate,real_income,unemp_rate,oil_price,ppi,construction,real_investment,wage,m2,reer,gas_price,nfa_cb,ner,labor_request,agriculture,retail,gov_balance,export,import,time_y
113.585238897926,70.1361142108471,34.9280627155111,12.5162920335201,19.1661679898662,82.1706860001586,9.44043182874563,35.4690446660501,33.4200134408413,2376.79204467817,114.984953275308,78.1655564834419,1129.37167105415,59.8474220253659,4.22,26.6938826049586,29.147663578209,899.179140466016,182.069325995254,111.459939210242,6.15987188952877,9198496085.44651,4087319985.78789,2001.08333333333
113.381299336439,70.0183605236425,35.597588847926,8.38687583915276,18.3387962550602,83.1006809813483,9.25561065166407,31.4218235976878,33.734723762468,2472.82773747413,115.335492533528,79.3886930244379,1169.32914382371,60.5341729037887,4.22,27.4182934052681,29.1936009135423,896.447370854458,183.61492484082,112.141458035806,21.2586958680662,8646965092.55836,4144198527.25023,2001.16666666667
113.219484981337,70.1945599128054,36.2340777719277,9.35011296946021,16.9735897046316,84.7893354269692,9.10640465481623,32.231775524032,34.1580862637916,2544.92639666135,117.560477888212,78.1908251656489,1212.86212710188,61.910588977264,4.26,28.0847555334384,29.4621603825934,920.384580954907,185.858368146988,114.03386698684,22.4028547852809,8679637087.73466,4339832421.68245,2001.25
112.981944869279,72.4795244860129,36.8752636496223,7.62001196451893,17.583390723853,83.4575366670687,8.87438088752998,34.9748753211707,34.6399187333614,2591.62561492566,120.95032782891,80.100287480636,1228.29516632255,62.5090432541022,4.26,28.2362700623413,29.5176073046611,962.408152169773,189.048959545444,116.134400980214,25.9343204442267,8786242493.17711,4743481314.14524,2001.33333333333
112.789669257134,71.7762187638471,37.4729612502033,13.3777828857563,18.4671200068302,87.7963487759128,9.04376048255093,34.753061927844,35.2210150420486,2650.73584272658,120.47173967002,80.9520002984153,1263.17453862679,63.5780296562391,4.26,29.4858484906549,29.5473533264521,982.511313143937,191.307209654772,116.660948946225,13.4062990449534,9255514225.45977,4758435154.26346,2001.41666666667
112.574370528393,71.1651405270196,37.7316157631517,6.02143245401933,18.5982343656832,87.8487373990794,9.09217411716836,30.507065622359,35.2737224852386,2582.00899544446,121.451999167271,83.0155427078325,1312.82029871042,62.7809932597766,3.78,30.7388821053539,29.7166726584193,1001.14498675313,195.526916519428,116.511420016783,6.80840391858596,8042369874.77072,4367778552.25426,2001.5
112.307962785212,71.1153701627112,38.1379838578957,7.58031964089077,18.3407357381266,89.8013736544606,9.06629831107666,30.7586953661431,35.2338195996878,2715.88430185013,124.110631224201,85.0654072528354,1360.10032583016,62.4917444593304,3.78,32.8653071330807,29.9297414139277,1009.79038957115,211.561835109076,118.119201203219,17.4477088143032,8512716321.61134,4590240989.36158,2001.58333333333
112.106183816265,72.0518146120901,38.6133194374832,7.40796758959326,17.426160471156,90.8626418102552,9.01987564252003,29.5360726287607,35.2123140205649,2812.47187034023,124.206870188971,85.54188567231,1421.55255606427,63.1381292327835,3.78,33.8022352645642,30.1037620586026,1024.72335313917,189.34498593213,118.176964602662,1.54158418795539,8589273623.28868,4500460578.52547,2001.66666666667
111.809317956757,72.8647781343262,39.0125517128233,6.60677358926031,17.5477821009766,88.9629500549775,8.86757254154013,25.5536024311456,35.1645686883705,2902.25266012188,125.024311456901,86.7127563046809,1468.42146061814,63.5963750818089,3.24,34.1186044911988,30.4812211024274,1033.16617704359,176.646019337084,119.33735507875,22.9012171613493,7807687419.91751,4531122239.95294,2001.75
111.421779845888,73.1551484969041,39.5181412938212,12.3228322224267,17.3037161983472,87.6538996989693,8.73264373092822,24.3569918208525,35.2965425418825,2914.76018922313,124.291339550743,87.6188703025033,1466.09966288163,64.2098482541527,3.24,33.5611501611049,30.8116781935323,1030.71611370422,184.502614996019,120.290694038801,37.2908024390529,7992054902.07698,4771423595.17857,2001.83333333333
